PeakPosition,Year,WeeksOnChart,Artists,Name,cluster
1,2007,27,Kanye West,Stronger,2
1,2011,39,Adele,Someone Like You,2
1,2016,42,Justin Bieber,Sorry,1
1,2007,22,Sean Kingston,Beautiful Girls,1
1,2019,38,Halsey,Without Me,2
1,2003,22,"B2K, P. Diddy","Bump, Bump, Bump",1
1,2000,24,Christina Aguilera,What A Girl Wants,1
1,2007,35,Plain White T's,Hey There Delilah,3
1,2016,24,Zayn,Pillowtalk,2
1,2017,30,The Weeknd,Starboy,0
1,2008,23,Britney Spears,Womanizer,2
1,2012,59,Gotye,Somebody That I Used To Know,3
1,2013,29,Eminem,The Monster,1
1,2000,24,Madonna,Music,4
1,2003,28,Ludacris,Stand Up,4
1,2014,59,John Legend,All Of Me,3
1,2012,50,Carly Rae Jepsen,Call Me Maybe,4
1,2002,20,Kelly Clarkson,A Moment Like This,0
1,2000,47,Creed,With Arms Wide Open,1
1,2006,29,Akon,I Wanna Love You,1
1,2016,40,Desiigner,Panda,2
1,2008,27,Rihanna,Take A Bow,2
1,2015,25,Taylor Swift,Bad Blood,0
1,2010,25,Eminem,Not Afraid,1
1,2018,17,Childish Gambino,This Is America,4
1,2007,30,Nelly Furtado,Say It Right,1
1,2006,25,Ludacris,Money Maker,1
1,2007,23,Mims,This Is Why I'm Hot,2
1,2009,20,Britney Spears,3,4
1,2009,17,"Eminem, Dr. Dre, 50 Cent",Crack A Bottle,0
1,2008,31,P!nk,So What,0
2,2014,25,Ariana Grande,Problem,1
2,2002,39,Linkin Park,In The End,1
2,2014,54,Sam Smith,Stay With Me,3
2,2015,58,Ed Sheeran,Thinking Out Loud,3
2,2002,22,Eve,Gangsta Lovin',1
2,2016,36,Lukas Graham,7 Years,2
2,2003,33,Chingy,Right Thurr,1
2,2009,24,Drake,Best I Ever Had,1
2,2003,24,Lil' Kim,Magic Stick,1
2,1999,37,Brian McKnight,Back At One,2
2,2010,47,Taio Cruz,Dynamite,4
2,2015,52,Fetty Wap,Trap Queen,4
2,2019,45,"Marshmello, Bastille",Happier,4
2,2015,36,Drake,Hotline Bling,1
2,2003,42,R. Kelly,Ignition,2
2,2003,27,Christina Aguilera,Beautiful,3
2,2003,20,Ja Rule,Mesmerize,1
2,2016,52,twenty one pilots,Stressed Out,1
2,2004,38,Hoobastank,The Reason,3
2,2016,39,twenty one pilots,Heathens,1
2,2014,41,Hozier,Take Me To Church,3
2,2002,20,Eminem,Without Me,4
2,2014,22,Nicki Minaj,Anaconda,4
2,2008,33,Chris Brown,Forever,2
2,2008,23,David Archuleta,Crush,1
2,2019,20,Ariana Grande,"Break Up With Your Girlfriend, I'm Bored",0
2,2015,42,Maroon 5,Sugar,1
2,2002,31,Avril Lavigne,Complicated,1
2,2004,20,Chingy,One Call Away,4
2,2010,35,Lady Gaga,Bad Romance,1
2,2008,29,Chris Brown,With You,1
2,2009,50,Taylor Swift,You Belong With Me,0
