PeakPosition,Year,WeeksOnChart,Artists,Name,cluster
8,2007,16,Kelly Clarkson,Never Again,0
8,2017,50,Post Malone,Congratulations,0
8,2000,24,Sonique,It Feels So Good,0
8,2008,4,Jonas Brothers,Tonight,1
8,2007,31,Jordin Sparks,Tattoo,1
8,2011,35,OneRepublic,Good Life,4
8,2007,64,Carrie Underwood,Before He Cheats,0
8,2010,20,Rihanna,Hard,1
8,2002,23,Ashanti,Happy,1
8,2018,4,Drake,Emotionless,1
8,2016,21,Ariana Grande,Dangerous Woman,1
8,2002,20,P!nk,Just Like A Pill,2
8,2005,17,Eminem,When I'm Gone,4
8,2005,20,Coldplay,Speed Of Sound,0
8,2018,22,Ariana Grande,God Is A Woman,1
8,2016,23,Prince,When Doves Cry,4
8,2005,20,Amerie,1 Thing,4
8,2016,20,Kent Jones,Don't Mind,0
8,2005,27,Usher,Caught Up,4
8,2003,20,Ginuwine,In Those Jeans,3
8,2002,27,"DJ Sammy, Yanou",Heaven,0
8,2019,25,Bobby Helms,Jingle Bell Rock,3
8,2010,10,Miley Cyrus,Can't Be Tamed,4
8,2013,33,Zedd,Clarity,0
8,2019,41,Khalid,Better,1
8,2013,43,Capital Cities,Safe And Sound,1
8,2009,24,Drake,Forever,0
8,2010,27,La Roux,Bulletproof,1
8,2016,15,Kelly Clarkson,Piece By Piece,1
8,2011,19,Justin Bieber,Never Say Never,1
8,2017,43,Alessia Cara,Scars To Your Beautiful,1
8,2014,20,Aloe Blacc,The Man,2
8,2018,4,Eminem,The Ringer,1
8,2017,25,Drake,Fake Love,2
8,2006,20,Danity Kane,Show Stopper,2
8,2009,23,Pitbull,Hotel Room Service,1
8,2006,30,Nickelback,Far Away,0
8,2012,24,"Owl City, Carly Rae Jepsen",Good Time,1
8,2015,20,Sam Smith,Lay Me Down,3
8,2017,20,Drake,Passionfruit,2
8,2019,20,Blueface,Thotiana,2
8,2018,8,Travis Scott,Stargazing,0
8,2012,20,Adele,Skyfall,3
8,2018,5,Kanye West,Yikes,1
8,2007,15,Feist,1234,1
8,2004,20,Lloyd Banks,On Fire,2
8,2014,46,Sia,Chandelier,1
8,2010,3,Taylor Swift,Speak Now,4
8,2007,21,Fabolous,Make Me Better,2
8,2014,25,Charli XCX,Boom Clap,1
8,2018,21,Migos,Stir Fry,1
9,2002,20,Shakira,Underneath Your Clothes,2
9,2008,30,Estelle,American Boy,1
9,2008,24,Buckcherry,Sorry,1
9,2007,20,"Rihanna, Sean Paul",Break It Off,4
9,2015,31,Andy Grammer,"Honey, I'm Good.",4
9,2001,24,Nelly Furtado,I'm Like A Bird,2
9,2004,20,Britney Spears,Toxic,4
9,2009,18,Carrie Underwood,I Told You So,2
9,2004,21,OutKast,Roses,1
9,2004,25,Avril Lavigne,My Happy Ending,1
9,2003,20,Kelly Clarkson,Miss Independent,0
9,2008,7,"Demi Lovato, Joe Jonas",This Is Me,1
9,2013,22,Lil Wayne,Love Me,2
9,2007,36,P!nk,Who Knew,0
9,2019,27,Brenda Lee,Rockin' Around The Christmas Tree,4
9,2003,35,Uncle Kracker,Drift Away,4
9,2013,24,P!nk,Try,1
9,2012,21,Usher,Scream,4
9,2001,39,Incubus,Drive,1
9,2017,16,Drake,Portland,1
9,2004,26,Ying Yang Twins,Salt Shaker,2
9,2014,20,"Michael Jackson, Justin Timberlake",Love Never Felt So Good,4
9,2015,27,"Pitbull, Ne",Time Of Our Lives,1
9,2004,20,Ruben Studdard,Sorry 2004,2
9,2006,20,Chingy,Pullin' Me Back,2
9,2007,26,My Chemical Romance,Welcome To The Black Parade,1
9,2011,33,Lupe Fiasco,The Show Goes On,4
9,2009,23,Katy Perry,Waking Up In Vegas,0
9,2014,36,Ed Sheeran,Don't,1
9,2005,21,T.I.,Bring Em Out,4
9,2010,21,Lil Wayne,6 Foot 7 Foot,1
9,2003,27,R. Kelly,Step In The Name Of Love,2
9,1999,25,Len,Steal My Sunshine,0
9,2011,20,Drake,Make Me Proud,1
9,2000,20,Backstreet Boys,Shape Of My Heart,2
9,2010,28,Jason Derulo,Ridin' Solo,4
9,1999,29,Red Hot Chili Peppers,Scar Tissue,1
9,2007,20,Amy Winehouse,Rehab,1
9,2008,20,The Pussycat Dolls,When I Grow Up,2
9,2016,46,DNCE,Cake By The Ocean,4
9,2009,10,Eminem,We Made You,1
9,2013,26,Ariana Grande,The Way,4
9,2001,21,Jagged Edge,Promise,4
9,2009,14,Rihanna,Russian Roulette,2
9,2006,31,Fall Out Boy,"Dance, Dance",0
9,2005,20,Ludacris,Pimpin' All Over The World,4
9,2008,15,Taylor Swift,Fearless,1
10,2015,20,One Direction,Perfect,1
10,2015,34,Fall Out Boy,Centuries,0
10,2007,36,Unk,Walk It Out,1
10,2005,38,The Killers,Mr. Brightside,1
10,2004,28,No Doubt,It's My Life,4
10,2006,37,Panic! At The Disco,I Write Sins Not Tragedies,0
10,1999,20,Kevon Edmonds,24-7,1
10,2001,20,Michael Jackson,You Rock My World,4
10,2008,24,Jesse McCartney,Leavin',4
10,2005,43,Weezer,Beverly Hills,4
10,2009,20,Young Money,Every Girl,4
10,2006,22,Evanescence,Call Me When You're Sober,0
10,2005,28,Gavin DeGraw,I Don't Want To Be,1
10,2011,23,DJ Khaled,I'm On One,0
10,2007,11,Lil Mama,Lip Gloss,1
10,1999,17,LFO,Girl On TV,1
10,2006,21,Field Mob,So What,4
10,2017,15,Miley Cyrus,Malibu,0
10,2014,24,Paramore,Ain't It Fun,4
10,2008,30,Metro Station,Shake It,1
10,2004,20,Fabolous,Breathe,2
10,2009,22,Jordin Sparks,Battlefield,1
10,2008,27,Nickelback,Gotta Be Somebody,1
10,2010,20,Jay Sean,Do You Remember,4
10,2012,28,Chris Brown,Don't Wake Me Up,0
10,2002,20,Craig David,7 Days,4
10,2001,32,Enya,Only Time,3
10,2011,2,Taylor Swift,If This Was A Movie,0
10,2018,6,BTS,Fake Love,1
10,2015,38,Elle King,Ex's & Oh's,0
10,2001,20,Destiny's Child,Emotion,0
10,2018,12,J. Cole,KOD,1
10,2012,36,Train,Drive By,1
10,2006,23,Chris Brown,Say Goodbye,1
10,2013,21,Maroon 5,Love Somebody,1
10,2014,26,Coldplay,A Sky Full Of Stars,0
10,2015,26,Natalie La Rose,Somebody,1
10,2019,28,Ava Max,Sweet But Psycho,1
10,2011,15,Demi Lovato,Skyscraper,2
10,2008,27,Miley Cyrus,See You Again,4
10,2011,23,Kelly Clarkson,Mr. Know It All,1
10,2008,3,Taylor Swift,Change,0
10,2009,3,Taylor Swift,Jump Then Fall,1
10,2001,20,S Club 7,Never Had A Dream Come True,3
10,2002,24,N.O.R.E.,Nothin',1
10,2001,21,Tamia,Stranger In My House,1
10,2002,20,Avril Lavigne,Sk8er Boi,1
10,2015,30,Ed Sheeran,Photograph,3
10,2006,31,Cascada,Everytime We Touch,0
10,2008,27,Lil Wayne,Got Money,4
10,2008,22,Danity Kane,Damaged,4
10,2009,5,Hannah Montana,He Could Be The One,1
10,2017,28,Liam Payne,Strip That Down,2
10,2018,10,Andy Williams,It's The Most Wonderful Time Of The Year,0
10,2011,8,Lady Gaga,Judas,0
10,2012,20,Chris Brown,Turn Up The Music,1
10,2010,30,Adam Lambert,Whataya Want From Me,0
10,2013,20,Demi Lovato,Heart Attack,0
10,2003,22,Monica,So Gone,2
10,2018,22,Migos,Walk It Talk It,1
