PeakPosition,Year,WeeksOnChart,Artists,Name,cluster,Popularity,,.WeeksOnChart
9,2019,0,Brenda Lee,Rockin' Around The Christmas Tree,4,53,,27
2,2000,0,Marc Anthony,You Sang To Me,4,53,,32
10,2009,0,Young Money,Every Girl,4,52,,20
5,2000,0,Ruff Endz,No More,4,52,,26
1,2013,0,Robin Thicke,Blurred Lines,4,52,,48
4,2000,0,Montell Jordan,Get It On Tonite,4,52,,32
3,2007,0,Timbaland,The Way I Are,4,51,,38
9,2007,0,"Rihanna, Sean Paul",Break It Off,4,49,,20
5,2013,0,Bruno Mars,Treasure,4,48,,23
2,2012,57,Ellie Goulding,Lights,4,47,,57
6,2010,0,Mike Posner,Cooler Than Me,4,45,,29
8,2011,0,OneRepublic,Good Life,4,44,,35
7,1999,0,Donell Jones,U Know What's Up,4,43,,24
5,2006,0,Natasha Bedingfield,Unwritten,4,43,,42
4,2001,0,Madonna,Don't Tell Me,4,42,,21
6,2005,0,Rob Thomas,Lonely No More,4,39,,34
2,2002,0,Eminem,Without Me,4,38,,20
4,2005,0,Akon,Lonely,4,37,,20
2,2019,0,Billie Eilish,Bad Guy,2,91,,13
2,2018,0,Juice WRLD,Lucid Dreams,2,89,,46
1,2018,0,XXXTENTACION,Sad!,2,87,,38
1,2019,0,"Lady Gaga, Bradley Cooper",Shallow,2,86,,39
3,2018,52,Post Malone,Better Now,2,85,,52
3,2017,0,"The Chainsmokers, Coldplay",Something Just Like This,2,83,,39
5,2018,0,"Zedd, Maren Morris, Grey",The Middle,2,82,,40
1,2007,0,Kanye West,Stronger,2,80,,27
4,2016,0,DJ Snake,Let Me Love You,2,80,,33
3,2006,58,The Fray,How To Save A Life,2,80,,58
8,2017,0,Drake,Passionfruit,2,80,,20
2,2016,0,Lukas Graham,7 Years,2,79,,36
6,1999,0,Backstreet Boys,I Want It That Way,2,79,,31
5,2006,0,Snow Patrol,Chasing Cars,2,78,,45
1,2011,0,Adele,Someone Like You,2,78,,39
1,2016,0,Zayn,Pillowtalk,2,78,,24
1,2008,0,Rihanna,Take A Bow,2,76,,27
2,2013,0,Justin Timberlake,Mirrors,2,76,,42
5,2002,0,Vanessa Carlton,A Thousand Miles,2,76,,41
5,2014,0,Passenger,Let Her Go,2,76,,43
1,2004,0,Mario,Let Me Love You,2,76,,36
2,2009,0,Miley Cyrus,Party In The U.S.A.,2,74,,28
2,2010,0,Iyaz,Replay,2,74,,34
8,2019,0,Blueface,Thotiana,2,74,,20
1,2017,0,Cardi B,Bodak Yellow,2,74,,35
6,2014,0,Lorde,Team,2,74,,38
6,2011,0,Chris Brown,Look At Me Now,2,73,,27
2,2008,0,Chris Brown,Forever,2,73,,33
1,2001,0,Alicia Keys,Fallin',2,73,,34
3,2003,0,Justin Timberlake,Cry Me A River,2,73,,20
9,2000,0,Backstreet Boys,Shape Of My Heart,2,73,,20
7,2004,0,Kanye West,All Falls Down,2,72,,20
2,2005,0,The Game,Hate It Or Love It,2,72,,23
7,2018,0,Drake,I'm Upset,2,72,,16
4,2013,0,Drake,"Hold On, We're Going Home",2,71,,33
9,2008,0,The Pussycat Dolls,When I Grow Up,2,71,,20
10,2017,0,Liam Payne,Strip That Down,2,71,,28
2,2007,0,Timbaland,Apologize,2,71,,47
9,2001,0,Nelly Furtado,I'm Like A Bird,2,71,,24
2,1999,0,Brian McKnight,Back At One,2,70,,37
7,2016,0,J. Cole,Deja Vu,2,70,,20
1,2000,0,Savage Garden,I Knew I Loved You,2,69,,33
5,2007,0,Colbie Caillat,Bubbly,2,69,,47
1,2014,0,Iggy Azalea,Fancy,2,68,,39
4,2009,0,Jeremih,Birthday Sex,2,68,,20
6,2018,0,J. Cole,ATM,2,68,,5
10,2011,0,Demi Lovato,Skyscraper,2,68,,15
4,1999,0,Whitney Houston,My Love Is Your Love,2,68,,28
10,2003,0,Monica,So Gone,2,67,,22
2,2012,0,Justin Bieber,Boyfriend,2,67,,20
7,2009,0,Mariah Carey,Obsessed,2,66,,21
7,2015,0,Nick Jonas,Jealous,2,66,,32
