PeakPosition,Year,WeeksOnChart,Artists,Name,cluster,Popularity,,.WeeksOnChart
3,2011,0,Lil Wayne,She Will,0,56,,21
6,2007,0,Rich Boy,Throw Some D's,0,56,,21
3,2008,0,David Cook,The Time Of My Life,0,54,,20
8,2017,0,Post Malone,Congratulations,0,54,,50
10,2013,0,Demi Lovato,Heart Attack,0,53,,20
5,2015,0,Taylor Swift,Wildest Dreams,0,53,,27
5,2004,0,Christina Milian,Dip It Low,0,53,,30
2,2010,0,Taylor Swift,Today Was A Fairytale,0,52,,18
10,2018,0,Andy Williams,It's The Most Wonderful Time Of The Year,0,51,,10
6,2012,0,Neon Trees,Everybody Talks,0,46,,39
3,2012,0,The Wanted,Glad You Came,0,46,,37
3,2001,0,Enrique Iglesias,Hero,0,45,,34
8,2001,0,Ja Rule,Put It On Me,0,44,,27
9,2006,0,Fall Out Boy,"Dance, Dance",0,44,,31
10,2008,0,Taylor Swift,Change,0,43,,3
2,2007,0,Fall Out Boy,"This Ain't A Scene, It's An Arms Race",0,43,,20
7,2008,0,Christina Aguilera,Keeps Gettin' Better,0,42,,18
9,2009,0,Katy Perry,Waking Up In Vegas,0,41,,23
8,2009,0,Drake,Forever,0,40,,24
7,2002,0,Brandy,What About Us?,0,39,,18
5,2002,0,No Doubt,Hey Baby,0,38,,20
5,2014,53,Bastille,Pompeii,0,13,,53
